Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Shahji ki Advice,-2006.0,73 min,Comedy,7.4,25,Jaspal Bhatti,Rakesh Bedi,Jaspal Bhatti,Shail Chaturvedi
Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,-2010.0,89 min,"Comedy, Drama",5.0,"1,043",Makrand Deshpande,Suzanne Bernert,Nagesh Bhonsle,Pritika Chawla
Shair,-1949.0,138 min,Romance,7.1,21,Chawla,Suraiya,Dev Anand,Kamini Kaushal
Shaitaan,-1974.0,121 min,"Action, Crime, Drama",5.4,19,Feroz Chinoy,Shatrughan Sinha,Sharmila Tagore,Anil Dhawan
Shaitan,-2011.0,121 min,"Action, Crime, Drama",7.2,"8,146",Bejoy Nambiar,Kalki Koechlin,Shiv Panditt,Gulshan Devaiah
Shaitani Dracula,-2006.0,79 min,Horror,4.3,6,Harinam Singh,Birbal,Ramesh Goyal,Manmauji
Shaitani Ilaaka,-1990.0,128 min,Horror,4.8,51,Kiran Ramsay,Sunil Dhawan,Shehnaz Kudia,Neelam Mehra
Shakal Pe Mat Ja,-2011.0,140 min,"Comedy, Crime, Drama",4.9,39,Shubh Mukherjee,Shubh Mukherjee,Pratik Katare,Harsh Parekh
Shakalaka Boom Boom,-2007.0,129 min,"Drama, Musical, Romance",2.3,604,Suneel Darshan,Bobby Deol,Upen Patel,Celina Jaitly
Shakeela,-2020.0,126 min,"Biography, Drama",3.2,528,Indrajit Lankesh,Pankaj Tripathi,Richa Chadha,Rajeev Pillai
Shakespeare-Wallah,-1965.0,120 min,"Drama, Romance",6.8,685,James Ivory,Shashi Kapoor,Felicity Kendal,Geoffrey Kendal
Shakthi: The Power,-2002.0,170 min,"Action, Drama",6.0,"4,669",Krishna Vamsi,Karisma Kapoor,Nana Patekar,Sanjay Kapoor
Shakti,-1982.0,166 min,"Action, Crime, Drama",7.7,"1,959",Ramesh Sippy,Dilip Kumar,Amitabh Bachchan,Rakhee Gulzar
Shaktiman,-1993.0,155 min,"Action, Drama, Romance",2.6,176,K.C. Bokadia,Ajay Devgn,Karisma Kapoor,Mukesh Khanna
Shakuntala,-1947.0,76 min,Drama,6.7,6,Shantaram Rajaram Vankudre,Kumar Ganesh,Jayashree,Chandra Mohan
Shakuntala Devi,-2020.0,127 min,"Biography, Drama",6.1,"8,456",Anu Menon,Vidya Balan,Adi Chugh,Sanya Malhotra
Shalimar,-1978.0,137 min,"Action, Adventure, Crime",6.3,529,Krishna Shah,Dharmendra,Zeenat Aman,Rex Harrison
Sham Ghansham,-1998.0,160 min,"Action, Drama",3.5,61,Ashok Ghai,Rakhee Gulzar,Chandrachur Singh,Arbaaz Khan
Shama,-1961.0,149 min,"Drama, Musical, Romance",6.5,10,Lekhraj Bhakri,Nimmi,Vijay Dutt,M. Kumar
Shama Parwana,-1954.0,147 min,"Drama, Romance",6.6,23,D.D. Kashyap,Suraiya,Shammi Kapoor,Mubarak
Shamitabh,-2015.0,155 min,Drama,6.8,"7,099",R. Balki,Amitabh Bachchan,Dhanush,Akshara Haasan
Shandaar,-1974.0,145 min,"Drama, Family",6.8,29,R. Krishnan,S. Panju,Sanjeev Kumar,Sharmila Tagore
Shandar,-1990.0,146 min,"Action, Comedy, Drama",5.2,42,Vinod Dewan,Mithun Chakraborty,Meenakshi Sheshadri,Juhi Chawla
Shanghai,-2012.0,120 min,"Crime, Drama, Mystery",7.2,"9,804",Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee
Shankar Dada,-1976.0,130 min,Drama,6.5,26,Shibu Mitra,Ashok Kumar,Shashi Kapoor,Neetu Singh
Shankar Khan,-1966.0,140 min,"Action, Drama, Sport",5.6,5,Nanabhai Bhatt,Prithviraj Kapoor,Dara Singh,Randhawa
Shankar Shambhu,-1976.0,137 min,"Action, Crime, Drama",5.5,25,Chand,Feroz Khan,Vinod Khanna,Sulakshana Pandit
Shanti Kranti,-1991.0,142 min,"Action, Musical, Romance",6.0,101,V. Ravichandran,Nagarjuna Akkineni,V. Ravichandran,Juhi Chawla
Shapath,-1984.0,128 min,Action,4.3,11,Ravikant Nagaich,Raj Babbar,Smita Patil,Ranjeet
Shapath,-1997.0,140 min,Action,5.5,90,Rajiv Babbar,Mithun Chakraborty,Vineeta,Jackie Shroff
Sharaabi,-1984.0,180 min,"Comedy, Drama, Romance",7.4,"2,716",Prakash Mehra,Amitabh Bachchan,Bharat Bhushan,Chandrashekhar
Sharada,-1957.0,128 min,"Drama, Romance, Musical",6.6,101,L.V. Prasad,Raj Kapoor,Meena Kumari,Shyama
Sharafat,-1970.0,120 min,"Drama, Romance",7.1,77,Asit Sen,Ashok Kumar,Dharmendra,Hema Malini
Sharafat Chhod Di Main Ne,-1976.0,115 min,Drama,5.8,24,Jagdev Bhambri,Feroz Khan,Hema Malini,Neetu Singh
Sharafat Gayi Tel Lene,-2015.0,108 min,"Comedy, Drama, Mystery",4.9,273,Gurmmeet Singh,Zayed Khan,Tina Desai,Anupam Kher
Sharara,-1984.0,135 min,Action,6.8,27,S.V. Rajendra Singh Babu,Raaj Kumar,Hema Malini,Shatrughan Sinha
Shararat,-2002.0,155 min,"Comedy, Drama, Romance",4.6,448,Gurudev Bhalla,Abhishek Bachchan,Hrishitaa Bhatt,Amrish Puri
Sharda,-1981.0,126 min,"Drama, Family",5.5,19,Lekh Tandon,Jeetendra,Rameshwari,Sarika
Sharmaji Ki Lag Gai,-2019.0,122 min,Comedy,4.9,251,Manoj Sharma,Mugdha Godse,Brijendra Kala,Krishna Abhishek
Sharmeelee,-1971.0,164 min,"Mystery, Musical, Romance",7.0,154,Samir Ganguly,Shashi Kapoor,Rakhee Gulzar,Nasir Hussain
Shart,-1969.0,136 min,"Mystery, Thriller",6.7,36,Kewal Misra,Sanjay Khan,Mumtaz,Kumud Chuggani
Shart,-1986.0,134 min,"Drama, Mystery, Thriller",6.4,40,Ketan Anand,Naseeruddin Shah,Shabana Azmi,Kanwaljit Singh
Shart: The Challenge,-2004.0,136 min,"Drama, Romance",3.5,152,Puri Jagannadh,Tusshar Kapoor,Gracy Singh,Amrita Arora
Shastra,-1996.0,144 min,"Action, Drama",4.6,83,Sanjay Khanna,Sunil Shetty,Anjali Jathar,Anupam Kher
Shatranj,-1969.0,168 min,"Thriller, Mystery",6.1,32,S.S. Vasan,Rajendra Kumar,Waheeda Rehman,Mehmood
Shatru,-1986.0,157 min,"Action, Adventure, Crime",6.9,40,Pramod Chakravorty,Rajesh Khanna,Shabana,Ashok Kumar
Shaukeen,-1982.0,127 min,Comedy,7.2,446,Basu Chatterjee,Ashok Kumar,A.K. Hangal,Utpal Dutt
Shaukeen Kaminay,-2016.0,125 min,"Comedy, Drama",6.1,30,Anil Chorasiya,Seema Bilong,Sunil Chourasiya,Ankit Gajera
Shaurya: It Takes Courage to Make Right... Right,-2008.0,149 min,"Crime, Drama, Thriller",7.3,"3,995",Samar Khan,Rahul Bose,Javed Jaffrey,Minissha Lamba
Sheesh Mahal,-1950.0,144 min,Drama,7.4,15,Sohrab Modi,Sohrab Modi,Naseem Banu,Pushpa Hans
Sheesha,-1986.0,113 min,Drama,7.2,53,Basu Chatterjee,Mithun Chakraborty,Moon Moon Sen,Vijayendra Ghatge
Sheetalbhabi.com,-2011.0,115 min,Comedy,3.9,34,C.M. Jain,Jatin Grewal,Hina Tasleem,Monalisa
Shehar Aur Sapna,-1964.0,120 min,Drama,6.5,13,Khwaja Ahmad Abbas,David Abraham,Anwar Hussain,Manmohan Krishna
Shehnai,-1947.0,133 min,Romance,4.2,5,P.L. Santoshi,Rehana,Indumati,Nasir Khan
Shehri Gabru,-2020.0,62 min,"Comedy, Crime",8.5,92,Saurabh Gulab Rao,Naman Bhati,Akshay Kaushal,Atul Kaushal
Sheikh Chilli,-1956.0,112 min,"Action, Adventure, Comedy",5.4,9,Ramchandra Thakur,Master Bhagwan,Shyama,Mahipal
Sheitaan,-2017.0,110 min,Horror,4.0,20,Sameer Khan,Iti Acharya,Asif Basra,Nirab Hossain
Shera,-1999.0,125 min,Action,5.1,56,T.L.V. Prasad,Asrani,Mithun Chakraborty,Pinky Chinoy
Sheshnaag,-1990.0,145 min,"Action, Fantasy, Thriller",4.5,81,K.R. Reddy,Jeetendra,Rekha,Rishi Kapoor
Shikaar,-2000.0,135 min,"Action, Mystery",3.6,28,Bobby Raj,Abhishek Kapoor,Vikas Bhalla,Ayesha Jhulka
Shikar,-1968.0,139 min,"Mystery, Thriller",6.6,111,Atma Ram,Asha Parekh,Dharmendra,Sanjeev Kumar
Shikara,-2020.0,118 min,"Drama, History, Romance",3.8,"6,399",Vidhu Vinod Chopra,Sadia Khateeb,Aadil Khan,Zain Khan Durrani
Shikari,-2000.0,160 min,"Crime, Drama, Thriller",4.6,431,N. Chandra,Govinda,Tabu,Karisma Kapoor
Shikari,-1963.0,139 min,"Action, Adventure, Horror",5.7,41,Mohammed Hussain,Ajit,Ragini,Helen
Shikari: The Hunter,-1991.0,162 min,"Action, Adventure",5.6,55,Latif Faiziyev,Umesh Mehra,Mithun Chakraborty,Naseeruddin Shah
Shikast,-1953.0,110 min,Drama,7.0,41,Ramesh Saigal,Dilip Kumar,Nalini Jaywant,Durga Khote
Shikhar,-2005.0,162 min,Drama,4.9,"1,061",John Mathew Matthan,Ajay Devgn,Shahid Kapoor,Bipasha Basu
Shikshaa,-1979.0,125 min,"Drama, Family",5.6,9,S. Ramanathan,Raj Kiran,Sushma Verma,Beena Banerjee
Shimla Mirchi,-2020.0,129 min,"Comedy, Romance",4.6,"1,322",Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh
Ship of Theseus,-2012.0,139 min,Drama,8.1,"6,922",Anand Gandhi,Aydah El-Kashef,Yogesh Shah,Faraz Khan
Shirdi Ke Sai Baba,-1977.0,140 min,"Biography, Drama",7.0,229,Ashok V. Bhushan,Sudhir Dalvi,Manoj Kumar,Rajendra Kumar
Shirdi Sai Baba,-2001.0,150 min,"Drama, Mystery",4.8,178,Deepak Balraj Vij,Anand Balraj,Sudhir Dalvi,Dharmendra
Shirin Farhad Ki Toh Nikal Padi,-2012.0,111 min,Romance,4.2,"1,023",Bela Segal,Freny Bhagat,Dinyar Contractor,Nauheed Cyrusi
Shiva,-1989.0,161 min,"Action, Crime, Drama",8.1,"3,399",Ram Gopal Varma,Nagarjuna Akkineni,Amala Akkineni,Raghuvaran
Shiva,-2006.0,160 min,"Action, Crime, Drama",3.9,330,Ram Gopal Varma,Mohit Ahlawat,Priyanka Kothari,Vinod Jaywant
Shiva Ka Insaaf,-1985.0,125 min,"Action, Adventure, Fantasy",4.6,49,Raj N. Sippy,Jackie Shroff,Poonam Dhillon,Vinod Mehra
Shiva Shakti,-1988.0,153 min,"Action, Crime, Drama",4.7,29,Anand,Shatrughan Sinha,Govinda,Anita Raj
Shivaay,-2016.0,153 min,"Action, Adventure, Drama",6.2,"9,909",Ajay Devgn,Ajay Devgn,Abigail Eames,Erika Kaar
Shobhayatra,-2004.0,100 min,"Comedy, Drama",4.2,14,Vijay Ghatge,Divya Dutta,Prithvi Sankhala,Vineet Kumar
Shobhna's Seven Nights,-2012.0,105 min,"Drama, Romance",6.2,19,Sudipto Chattopadhyay,Lillete Dubey,Bharat Kaul,Anupam Kher
Shohrat the Trap,-2018.0,67 min,Thriller,5.2,101,Deepak Ramteke,Mayank Agarwal,Avinash Baviskar,Anil Bhavnani
Shola Aur Shabnam,-1961.0,135 min,"Drama, Family",7.3,48,Ramesh Saigal,Dhumal,Jeevan Kala,Ruby Mayer
Shola Aur Shabnam,-1992.0,165 min,"Action, Comedy, Drama",6.5,932,David Dhawan,Govinda,Divya Bharti,Gulshan Grover
Sholay,-1975.0,162 min,"Action, Adventure, Comedy",8.2,"52,511",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan
Shool,-1999.0,138 min,"Action, Crime, Drama",7.7,"2,932",Eeshwar Nivas,Manoj Bajpayee,Raveena Tandon,Sayaji Shinde
Shoonya,-2006.0,100 min,Drama,6.8,31,Arindam Mitra,Sohrab Ardeshir,Seema Biswas,Tulip Joshi
Shoorveer,-1988.0,147 min,Drama,5.0,8,Shyam Ralhan,Rajan Sippy,Mandakini,Deepti Naval
Shootout at Lokhandwala,-2007.0,122 min,"Action, Crime, History",7.1,"9,607",Apoorva Lakhia,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty
Shootout at Wadala,-2013.0,155 min,"Action, Biography, Crime",5.9,"6,439",Sanjay Gupta,Anil Kapoor,John Abraham,Manoj Bajpayee
Shor,-1972.0,170 min,Drama,7.2,337,Manoj Kumar,Manoj Kumar,Jaya Bachchan,Prem Nath
Shor in the City,-2010.0,112 min,"Crime, Drama",7.2,"3,502",Krishna D.K.,Raj Nidimoru,Sendhil Ramamurthy,Tusshar Kapoor
Shor Se Shuruaat,-2016.0,125 min,Drama,6.6,145,Amira Bhargava,Rahul V. Chittella,Satish Raj Kasireddi,Pratik Kothari
Shorgul,-2016.0,132 min,Drama,5.7,268,Pranav Singh,Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana
Shortcut Romeo,-2013.0,146 min,"Action, Crime, Drama",2.3,252,Susi Ganesan,Neil Nitin Mukesh,Ameesha Patel,Puja Gupta
Shortcut Safari,-2016.0,101 min,"Adventure, Drama, Mystery",6.4,70,Amitabha Singh,Jimmy Sheirgill,Aashi Rawal,Stuti Dwivedi
Shortkut - The Con Is On,-2009.0,142 min,"Comedy, Drama",3.4,884,Neeraj Vora,Anil Kapoor,Sanjay Dutt,Akshaye Khanna
Shorts,-2013.0,95 min,Drama,6.5,444,Neeraj Ghaywan,Siddharth Gupt,Rohit Pandey,Anirban Roy
Showbiz,-2007.0,108 min,"Action, Drama, Music",3.6,114,Raju Khan,Tushar Jalota,Mrinalini Sharma,Vishal Agarwala
Shradhanjali,-1981.0,139 min,"Drama, Family",7.3,18,Anil Sharma,Rakhee Gulzar,Suresh Oberoi,Deepak Parashar
Shree,-2013.0,109 min,"Sci-Fi, Thriller",6.3,269,Rajesh Bachchani,Hussain Kuwajerwala,Anjali Patil,Shivani Tanksale
Shree 420,-1955.0,168 min,"Comedy, Crime, Drama",8.0,"2,612",Raj Kapoor,Nargis,Raj Kapoor,Nadira
Shree Ganesh,-1962.0,139 min,"Adventure, Drama, Fantasy",7.5,6,S.S. Dharwadkar,Mahipal,Sahira,Indira
Shree Krishnarjun Yuddh,-1971.0,136 min,"Adventure, Drama, History",7.0,6,Babubhai Mistry,Abhi Bhattacharya,Jayshree Gadkar,Mahipal
Shreelancer,-2017.0,93 min,Drama,7.2,92,Sandeep Mohan,Arjun Radhakrishnan,Falah Faisal,Chandan Gill
Shreemaan Aashique,-1993.0,152 min,"Comedy, Romance",4.8,135,Deepak Anand,Rishi Kapoor,Urmila Matondkar,Bindu
Shri Datta Darshanam,-1985.0,143 min,"Musical, Drama",8.2,19,Kamalakara Kameshwara Rao,Sarvadaman Banerjee,Ramana Murthi J.V.,Jyotirmayi
Shriman Satyawadi,-1960.0,146 min,"Action, Crime, Drama",7.0,68,S.M. Abbas,Raj Kapoor,Shakila,Mehmood
Shriman Shrimati,-1982.0,145 min,"Comedy, Drama, Family",6.4,139,Vijay Reddy,Sanjeev Kumar,Rakhee Gulzar,Rakesh Roshan
Shrimanji,-1968.0,160 min,"Drama, Family",6.6,29,Ram Dayal,Kishore Kumar,I.S. Johar,Jeevan
Shringaar,-2013.0,126 min,"Drama, History",5.0,7,Kumaar Aadarsh,Kumaar Aadarsh,Sahil Khan,Khushi Mukherjee
Shubh Kaamna,-1983.0,138 min,"Comedy, Drama",6.3,16,K. Viswanath,Rati Agnihotri,Asrani,Utpal Dutt
Shubh Mangal Savdhan,-2017.0,119 min,"Comedy, Romance",6.9,"9,094",R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava
Shubh Mangal Zyada Saavdhan,-2020.0,117 min,"Comedy, Romance",5.8,"8,208",Hitesh Kewalya,Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao
Shubh Raatri,-2020.0,52 min,Horror,4.5,67,Pankaz Singh Tanwar,Simran Ahemad,Nemi Chand,Jaya Goswami
Shuddh Desi Romance,-2013.0,141 min,"Comedy, Drama, Romance",6.0,"8,447",Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor
Shuddhi,-2017.0,114 min,"Crime, Drama, Thriller",7.9,374,Adarsh Eshwarappa,Lauren Spartano,Niveditha,Amrutha Karagada
Shukranu,-2020.0,90 min,Drama,6.4,678,Bishnu Dev Halder,Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur
Shukriya: Till Death Do Us Apart,-2004.0,144 min,"Musical, Drama, Family",5.1,148,Anupam Sinha,Anupam Kher,Aftab Shivdasani,Shriya Saran
Shuruaat Ka Interval,-2014.0,99 min,Drama,7.2,68,Aarti S. Bagdi,Amrit Raj Gupta,Krishan Hooda,Shishir Jha
Shuruaat Ka Twist,-2019.0,142 min,Drama,6.6,9,Heena Dsouza,Avalokita Dutt,Praveen Fernandes,Hanish Kalia
Shuttlecock Boys,-2011.0,76 min,"Comedy, Drama",6.2,111,Hemant Gaba,Aakar Kaushik,Manish Nawani,Alok Kumar
Siddeshwari,-1990.0,123 min,Documentary,7.5,77,Mani Kaul,Mita Vashisht,Muhar Biswas,Ranjana Srivastava
Siddharth,-2013.0,96 min,Drama,7.3,671,Richie Mehta,Rajesh Tailang,Tannishtha Chatterjee,Anurag Arora
Sikandar,-2009.0,110 min,"Crime, Drama, Mystery",6.4,262,Piyush Jha,Parzaan Dastur,Ayesha Kapoor,Sanjay Suri
Sikandar Sadak Ka,-1999.0,144 min,"Action, Drama",3.9,12,T.L.V. Prasad,Mithun Chakraborty,Manek Bedi,Monica Bedi
Sikka,-1989.0,180 min,"Action, Drama",4.5,35,K. Bapaiah,Mahesh Anand,Asrani,Brahmachari
Silence Please... The Dressing Room,-2004.0,100 min,Thriller,2.9,13,Sanjay Srinivas,Tom Alter,Salil Ankola,Sonali Kulkarni
Silence the Court Is in Session,-2015.0,105 min,Drama,6.2,13,Ritesh Menon,Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta
Silence: Can You Hear It,-2021.0,136 min,"Crime, Thriller",6.6,"3,324",Aban Bharucha Deohans,Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar
Silsiilay,-2005.0,134 min,Drama,4.0,696,Khalid Mohamed,Tabu,Bhoomika Chawla,Riya Sen
Silsila,-1981.0,182 min,"Drama, Family, Romance",7.3,"2,603",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Jaya Bachchan
Silsila Hai Pyar Ka,-1999.0,150 min,"Comedy, Drama, Romance",2.5,209,Shrabani Deodhar,Karisma Kapoor,Chandrachur Singh,Aruna Irani
Silvat,-2018.0,45 min,"Drama, Romance",7.1,168,Tanuja Chandra,Kartik Aaryan,Amal Farooque,Maaman Memon
Simhadriya Simha,-2002.0,157 min,"Action, Drama",8.5,66,S. Narayan,Vishnuvardhan,Meena,Bhanupriya
Simmba,-2018.0,158 min,"Action, Comedy, Crime",5.6,"15,244",Rohit Shetty,Sam Nagar,Ranveer Singh,Sara Ali Khan
Simran,-2017.0,124 min,"Crime, Drama, Thriller",5.1,"3,254",Hansal Mehta,Kangana Ranaut,Sohum Shah,Esha Tewari
Sindhustan,-2019.0,64 min,"Documentary, Family, History",9.3,36,Sapna Bhavnani,Leila Advani,Laj Badlani,Chaho Bhara
Sindoor,-1987.0,162 min,"Comedy, Drama",5.1,113,K. Ravi Shankar,Shashi Kapoor,Govinda,Neelam Kothari
Singapore,-1960.0,135 min,"Crime, Thriller",6.5,71,Shakti Samanta,Shammi Kapoor,Padmini,Maria Menado
Singh Is Bliing,-2015.0,141 min,"Action, Comedy",5.0,"7,891",Prabhu Deva,Akshay Kumar,Amy Jackson,Lara Dutta
Singh Is King,-2008.0,135 min,"Action, Comedy, Crime",5.7,"14,526",Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri
Singh Saab the Great,-2013.0,134 min,"Action, Drama",5.6,"2,200",Anil Sharma,Sunny Deol,Urvashi Rautela,Prakash Raj
Singham,-2011.0,143 min,"Action, Crime, Drama",6.8,"14,788",Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj
Singham,-2019.0,141 min,"Action, Drama",5.5,96,Navaniat Singh,Priyanka Arya,Sonam Bajwa,Kartar Cheema
Singham Returns,-2014.0,142 min,"Action, Crime, Drama",5.7,"7,675",Rohit Shetty,Ajay Devgn,Kareena Kapoor,Amole Gupte
Singhasan,-1986.0,161 min,"Action, Adventure, Romance",5.1,14,Krishna Ghattamaneni,Bharat Bhushan,Leena Das,Gulshan Grover
Sins,-2005.0,138 min,"Drama, Romance, Thriller",4.2,387,Vinod Pande,Vinod Pande,Gauri Shankar,Shiney Ahuja
Sir,-2018.0,99 min,"Drama, Romance",7.7,"5,461",Rohena Gera,Tillotama Shome,Vivek Gomber,Geetanjali Kulkarni
Sir,-1993.0,151 min,"Crime, Drama, Romance",6.2,336,Mahesh Bhatt,Naseeruddin Shah,Pooja Bhatt,Atul Agnihotri
Sirf Romance: Love by Chance,-2007.0,160 min,Romance,3.4,8,Raja Bundela,Zeenat Aman,Raj Babbar,Arun Bakshi
Sirf....: Life Looks Greener on the Other Side,-2008.0,135 min,Drama,5.8,96,Rajatesh Nayyar,Kay Kay Menon,Manisha Koirala,Ranvir Shorey
Siskiyaan,-2005.0,125 min,"Drama, Thriller",5.1,73,Ashwini Chaudhary,Neha Dhupia,Sachin Khedekar,Sonu Sood
Sitara,-1980.0,125 min,"Drama, Family",6.5,24,Meraj,Mithun Chakraborty,Zarina Wahab,Kanhaiyalal Chaturvedi
Sivaji,-2007.0,188 min,"Action, Drama, Thriller",7.5,"18,422",S. Shankar,Rajinikanth,Shriya Saran,Suman
Sivappathikaaram,-2006.0,112 min,Action,5.5,86,Karu Pazhaniappan,Upendra Limaye,Mamta Mohandas,Raghuvaran
Six X,-2016.0,133 min,Drama,6.9,210,Chandrakant Singh,Seema Azmi,Shweta Bhardwaj,Hrishitaa Bhatt
Sixteen,-2013.0,138 min,"Drama, Romance, Thriller",6.3,"1,680",Raj Purohit,Wamiqa Gabbi,Izabelle Leite,Mehak Manwani
Siyaah..,-2012.0,97 min,Horror,5.3,63,Aziz Naser,Habeeb Aidroos,Habib Al Aidroos,Zarine Ali
Skater Girl,-2021.0,107 min,"Drama, Family, Sport",6.6,"1,154",Manjari Makijany,Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta
Slender Threads,-1973.0,118 min,"Action, Drama",7.1,49,Raj Khosla,Vinod Khanna,Moushumi Chatterjee,Kabir Bedi
Snegithiye,-2000.0,154 min,"Drama, Musical, Mystery",6.5,276,Priyadarshan,Jyotika,Sharbani Mukherji,Tabu
Sneham Kosam,-1999.0,169 min,"Action, Drama",6.5,270,K.S. Ravikumar,Chiranjeevi,Meena,Vijayakumar
Sniffer,-2013.0,137 min,"Adventure, Comedy, Drama",5.9,680,Buddhadev Dasgupta,Nawazuddin Siddiqui,Pankaj Tripathi,Ananya Chatterjee
Soch,-2002.0,145 min,"Drama, Mystery, Thriller",4.3,86,Sushen Bhatnagar,Sanjay Kapoor,Raveena Tandon,Aditi Govitrikar
Socha Na Tha,-2005.0,137 min,"Comedy, Drama, Romance",7.4,"7,475",Imtiaz Ali,Abhay Deol,Ayesha Takia,Ayesha Jhulka
Sohag Raat,-1948.0,143 min,"Drama, Romance",7.2,6,Kidar Nath Sharma,Begum Para,Bharat Bhushan,Geeta Bali
Sohni Mahiwal,-1985.0,142 min,"Action, Drama, Romance",6.1,263,Kanwal Biala,Latif Faiziyev,Umesh Mehra,Sunny Deol
Sohni Mahiwal,-1958.0,104 min,"Musical, Romance",5.9,9,Raja Nawathe,Bharat Bhushan,Nimmi,Om Prakash
Sold,-2014.0,94 min,Drama,6.9,"1,589",Jeffrey D. Brown,Gillian Anderson,David Arquette,Priyanka Bose
Soldier,-1998.0,156 min,"Action, Drama, Musical",6.2,"2,757",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Preity Zinta
Solva Saal,-1958.0,135 min,"Comedy, Romance, Thriller",7.0,140,Raj Khosla,Dev Anand,Waheeda Rehman,Jagdev
Solva Sawan,-1979.0,140 min,Drama,6.0,22,Bharathiraja,Adil Amaan,Kulbhushan Kharbanda,Madhukar
Some Where in Delhi,-1956.0,128 min,"Comedy, Drama, Romance",5.1,9,M. Sadiq,Harbans Darshan M. Arora,Ram Avtar,S.N. Banerjee
Son of Dracula,-2009.0,94 min,"Fantasy, Horror",5.5,8,Salim Suma,Joginder Shelly,Raza Murad,Alaudeen
Son of Hercules,-1964.0,80 min,Action,2.8,28,Sultan,Bipin Gupta,Kamran,Leela Kumari
Son of Sardaar,-2012.0,141 min,"Action, Comedy",4.0,"9,060",Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt
Sona Spa,-2013.0,102 min,"Drama, Mystery, Thriller",3.5,189,Makrand Deshpande,Akkash Basnet,Nivedita Bhattacharya,Devyani
Sonali Cable,-2014.0,127 min,"Comedy, Drama",5.3,980,Charudutt Acharya,Rhea Chakraborty,Ali Fazal,Raghav Juyal
Sonchiriya,-2019.0,143 min,"Action, Crime, Drama",8.1,"9,572",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana
Sone Ki Chidiya,-1958.0,171 min,"Drama, Romance",6.0,34,Shaheed Latif,Talat Mahmood,Balraj Sahni,Nutan
Sone Pe Suhaaga,-1988.0,163 min,"Action, Family",4.8,90,K. Bapaiah,Jeetendra,Dharmendra,Nutan
Soni,-2018.0,97 min,"Crime, Drama",7.2,"2,528",Ivan Ayr,Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla
Sons of Ram,-2012.0,85 min,"Animation, Drama, Musical",6.7,77,Kushal Ruia,Sunidhi Chauhan,Ettienne Couthino,Devansh Doshi
Sonu Ke Titu Ki Sweety,-2018.0,138 min,"Comedy, Romance",7.1,"20,000",Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
Soorarai Pottru,-2020.0,153 min,Drama,9.1,"83,029",Sudha Kongara,Suriya,Madhavan,Paresh Rawal
Soorma,-2018.0,131 min,"Biography, Drama, Sport",7.4,"4,648",Shaad Ali,Diljit Dosanjh,Taapsee Pannu,Angad Bedi
Soorma Bhopali,-1988.0,153 min,Comedy,5.6,60,Jagdeep,Jagdeep,Agha,Amitabh Bachchan
Sooryavansham,-1999.0,168 min,"Action, Drama",6.3,"2,820",E.V.V. Satyanarayana,Pranavanand,Amitabh Bachchan,Soundarya
Sorry Bhai!,-2008.0,154 min,"Comedy, Drama, Romance",6.1,"1,019",Onir,Shabana Azmi,Boman Irani,Sanjay Suri
SOS: Secrets of Sex,-2013.0,114 min,Drama,5.8,34,Kumaar Aadarsh,Kumaar Aadarsh,Gagan Guru,Harman Preet Kaur
Soul of Sand,-2010.0,99 min,"Drama, Mystery, Thriller",5.6,82,Sidharth Srinivasan,Dibyendu Bhattacharya,Saba Joshi,Avtar Sahani
Soundtrack,-2011.0,132 min,"Drama, Musical",7.1,826,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma
Souryam,-2008.0,151 min,"Action, Drama",5.8,167,Siva,Tottempudi Gopichand,Anushka Shetty,Poonam Kaur
Souten,-1983.0,160 min,"Drama, Musical, Romance",5.7,196,Saawan Kumar Tak,Rajesh Khanna,Tina Ambani,Padmini Kolhapure
Souten Ki Beti,-1989.0,136 min,"Drama, Family",5.3,55,Saawan Kumar Tak,Jeetendra,Rekha,Jaya Prada
